Year,Receptor,Species,Methods,Raw_Text_Methods,Brain_Regions,Topic_Spec
1991,5ht3;5ht3;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(12 u'\\bantagonist');(13 u'\\bagonist');(44 u'\\btetrodotoxin');(49 u'\\bdoi'),(23 u'(?i)\\b(forebrains|forebrain)\\b');(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2004,5ht2c;5ht2c;5ht2c;5ht2;5ht2c;5ht2a;5ht2c;5ht2a;5ht2a;5ht2a;5ht2c;5ht2a;5ht2c;5ht2a;5ht2a;5ht2c;5ht2a,,,,,,
2011,5ht2c;5ht2c;5ht2c;5ht2c,,Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(26 u'\\bbehav'),
2007,5ht4;5ht4;5ht4;5ht4;5ht4;5ht4;5ht4,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(14 u'\\bcogniti');(17 u'\\balzheimer');(15 u'\\bmemory');(5 u'\\btherap');(4 u'\\btreatment'),
2008,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.PET,(19 u'\\bpositron emission tomography'),(22 u'(?i)\\b(anteriors|anterior)(-|\\s+)?(cingulates|cingulate)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(7 u'\\bdepressi');(4 u'\\btreatment');(2 u'\\bdisorder');(1 u'\\bpatient'),
1999,5ht2a;5ht2a;5ht2a,,,(54 u'\\bautoradiography'),(18 u'(?i)\\b(putamens|putamen)\\b');(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b');(17 u'(?i)\\b(caudates|caudate)\\b'),,
1995,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(9 u'\\britanserin');(12 u'\\bantagonist');(53 u'\\bketanserin'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(26 u'\\bbehav'),
2002,5ht6;5ht4;5ht2,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT,,(23 u'(?i)\\b(forebrains|forebrain)\\b'),(14 u'\\bcogniti');(26 u'\\bbehav'),
2004,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(46 u'\\bspiperone');(41 u'\\bhaloperidol');(13 u'\\bagonist');(12 u'\\bantagonist');(40 u'\\bclozapine'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b');(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
1992,5ht4;5ht4,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist');(28 u'\\bzacopride'),,,
2009,5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(35 u'\\badenosine');(13 u'\\bagonist');(12 u'\\bantagonist');(49 u'\\bdoi'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(2 u'\\bdisorder');(22 u'\\bschizophreni');(8 u'\\banxi');(23 u'\\bantipsychotic');(26 u'\\bbehav'),
1996,5ht3;5ht3;5ht3;5ht3,,,,(23 u'(?i)\\b(forebrains|forebrain)\\b');(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2006,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(35 u'\\bnocicept');(30 u'\\bpain');(4 u'\\btreatment');(26 u'\\bbehav');(29 u'\\bhyperactiv'),
2012,5ht2c;5ht7;5ht7;5ht5;5ht2;5ht2;5ht7;5ht7;5ht2;5ht7;5ht7;5ht7;5ht2;5ht2;5ht7;5ht2a,,,(35 u'\\badenosine');(49 u'\\bdoi');(40 u'\\bclozapine'),,,
2015,5ht3;5ht3,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav');(9 u'\\bstress');(7 u'\\bdepressi');(13 u'\\bantidepress');(8 u'\\banxi');(24 u'\\banxiolytic');(29 u'\\bhyperactiv'),
1994,5ht4;5ht4;5ht4,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b'),,,(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b');(17 u'(?i)\\b(caudates|caudate)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2003,5ht3;5ht5;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.STAINING;Method.ANTAGONIST,(23 u'\\bmdl');(9 u'\\britanserin');(12 u'\\bantagonist');(53 u'\\bketanserin'),,,
2009,5ht2c;5ht2a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(11 u'\\bfluoxetine');(9 u'\\britanserin');(12 u'\\bantagonist');(4 u'\\bpcpa'),,(4 u'\\btreatment');(7 u'\\bdepressi');(26 u'\\bbehav');(13 u'\\bantidepress');(33 u'\\blocomot'),
2009,5ht2a;5ht2a;5ht2a,(3 u'(?i)\\b(males|male)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(39 u'\\bselective serotonin reuptake inhibitor');(50 u'\\bm100907');(12 u'\\bantagonist');(40 u'\\bclozapine');(11 u'\\bfluoxetine');(13 u'\\bagonist'),,(23 u'\\bantipsychotic'),
2010,5ht1b;5ht1b;5ht1d;5ht1b;5ht1b;5ht1a;5ht1b;5ht1b;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(47 u'\\bsumatriptan'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(4 u'\\btreatment');(26 u'\\bbehav');(9 u'\\bstress');(7 u'\\bdepressi');(2 u'\\bdisorder');(8 u'\\banxi'),
2000,5ht2a;5ht2a;5ht2a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist');(53 u'\\bketanserin'),,(26 u'\\bbehav'),
2009,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2;5ht2a;5ht2a;5ht1a;5ht2a;5ht1,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),,,,(7 u'\\bdepressi');(2 u'\\bdisorder'),
2014,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(2 u'\\bdisorder');(4 u'\\btreatment');(26 u'\\bbehav'),
1999,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,,
1989,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(34 u'\\b5ct'),,,
1997,5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.IMMUNOHISTOCHEMISTRY,(3 u'\\bimmunoreactiv'),(19 u'(?i)\\b(cortexes|cortex)\\b');(1 u'(?i)\\b(neocortexes|neocortex)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b'),,
2001,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(13 u'\\bagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(6 u'\\baggressi');(26 u'\\bbehav'),
2011,5ht7;5ht7;5ht7,,Method.ANTAGONIST,(12 u'\\bantagonist'),,,
2009,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.PET;Method.ANTAGONIST,(12 u'\\bantagonist');(17 u'\\bpet'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(3 u'\\bclinical');(1 u'\\bpatient'),
1999,5ht1b;5ht1a,,,,,,
1993,5ht1a;5ht1,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(11 u'\\bfluoxetine');(32 u'\\blesions');(13 u'\\bagonist'),,(4 u'\\btreatment');(26 u'\\bbehav'),
2002,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(3 u'(?i)\\b(males|male)\\b'),Method.PET,(51 u'\\bway100635');(18 u'\\bimaging');(17 u'\\bpet'),(1 u'(?i)\\b(neocortexes|neocortex)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(4 u'\\btreatment');(2 u'\\bdisorder'),
2005,5ht1b;5ht1;5ht1d;5ht1a,,Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist'),,,
2000,5ht1b;5ht1b;5ht1d;5ht1b;5ht1d;5ht1a;5ht1b;5ht1b;5ht1;5ht1d;5ht1a;5ht1b;5ht1d,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(47 u'\\bsumatriptan'),,(4 u'\\btreatment'),
2019,5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1b,(8 u'(?i)\\b(primates|primate)\\b'),Method.PET,(18 u'\\bimaging');(17 u'\\bpet'),(19 u'(?i)\\b(cortexes|cortex)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(3 u'\\bclinical'),
2011,5ht2c;5ht2c;5ht2c;5ht2c;5ht2;5ht2c;5ht2c;5ht2c;5ht2;5ht2c,(4 u'(?i)\\b(rats|rat)\\b'),Method.STIMULATION;Method.AGONIST;Method.ANTAGONIST,(52 u'\\bmk212');(13 u'\\bagonist');(12 u'\\bantagonist'),(12 u'(?i)\\b(amygdalas|amygdala)\\b'),(8 u'\\banxi');(26 u'\\bbehav');(18 u'\\bavoidan'),
2004,5ht1,,,(33 u'\\bmcpp');(47 u'\\bsumatriptan'),,(10 u'\\bocd');(2 u'\\bdisorder');(26 u'\\bbehav');(1 u'\\bpatient'),
2014,5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),,(39 u'\\bselective serotonin reuptake inhibitor'),,(2 u'\\bdisorder');(7 u'\\bdepressi');(13 u'\\bantidepress');(26 u'\\bbehav');(4 u'\\btreatment'),
2002,5ht2a;5ht2;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),,(2 u'\\blabeling');(3 u'\\bimmunoreactiv'),,,
1998,5ht1b;5ht1b;5ht5;5ht1d;5ht1d;5ht1d;5ht1a;5ht1b;5ht1d;5ht1b;5ht1;5ht1d;5ht1a,,,,,,
1995,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(2 u'\\blabeling');(13 u'\\bagonist');(12 u'\\bantagonist'),(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(5 u'\\btherap'),
2018,5ht2c;5ht2a;5ht2a;5ht2a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST;Method.ANTAGONIST,(49 u'\\bdoi');(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(7 u'\\bdepressi');(13 u'\\bantidepress'),
1995,5ht3;5ht3;5ht3;5ht3,,Method.ANTAGONIST,(12 u'\\bantagonist'),,,
2006,5ht1a;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),,,(11 u'(?i)\\b(cerebrals|cerebral)\\b'),(26 u'\\bbehav');(13 u'\\bantidepress');(4 u'\\btreatment'),
2004,5ht3;5ht3;5ht5,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(25 u'\\bics205930'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(3 u'\\bclinical'),
2006,5ht1a;5ht1a;5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b');(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(5 u'\\btherap');(26 u'\\bbehav');(20 u'\\bmood');(9 u'\\bstress');(7 u'\\bdepressi');(2 u'\\bdisorder');(1 u'\\bpatient');(13 u'\\bantidepress');(25 u'\\bsocial');(4 u'\\btreatment'),
2008,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,,Method.PET,(19 u'\\bpositron emission tomography'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(6 u'\\baggressi');(2 u'\\bdisorder');(26 u'\\bbehav'),
1993,5ht3;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(20 u'\\bondansetron');(12 u'\\bantagonist'),,(4 u'\\btreatment'),
2020,5ht2;5ht2a;5ht2a;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(54 u'\\bautoradiography');(13 u'\\bagonist');(53 u'\\bketanserin'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(4 u'\\btreatment');(26 u'\\bbehav');(2 u'\\bdisorder');(3 u'\\bclinical');(8 u'\\banxi');(14 u'\\bcogniti'),
2009,5ht1a;5ht1a;5ht2b;5ht1a;5ht1a;5ht1a;5ht1a;5ht2b,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2011,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(51 u'\\bway100635');(18 u'\\bimaging');(13 u'\\bagonist');(12 u'\\bantagonist'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(7 u'\\bdepressi');(8 u'\\banxi'),
2008,5ht1a;5ht1;5ht1a;5ht1;5ht1a;5ht1a;5ht1,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(51 u'\\bway100635');(13 u'\\bagonist');(12 u'\\bantagonist'),,(9 u'\\bstress');(4 u'\\btreatment');(26 u'\\bbehav'),
2012,5ht1;5ht1a;5ht1a;5ht1;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT,,(19 u'(?i)\\b(cortexes|cortex)\\b'),(15 u'\\bmemory');(26 u'\\bbehav');(9 u'\\bstress');(7 u'\\bdepressi');(2 u'\\bdisorder');(8 u'\\banxi');(13 u'\\bantidepress');(18 u'\\bavoidan');(6 u'\\baggressi');(24 u'\\banxiolytic');(25 u'\\bsocial'),
2006,5ht2c;5ht2;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist');(53 u'\\bketanserin'),(14 u'(?i)\\b(caudals|caudal)\\b');(4 u'(?i)\\b(presynaptics|presynaptic)\\b'),,
2011,5ht2b;5ht2a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT,,(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(26 u'\\bbehav'),
2005,5ht2c;5ht1b;5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b');(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(36 u'\\bbenzodiazepine');(32 u'\\blesions');(13 u'\\bagonist');(16 u'\\bdiazepam'),(16 u'(?i)\\b(drns|drn)\\b'),,
2013,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.ANTAGONIST,(51 u'\\bway100635');(12 u'\\bantagonist'),,(9 u'\\bstress'),
1998,5ht3;5ht3;5ht6;5ht3;5ht4;5ht3;5ht3;5ht3;5ht7;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(2 u'\\blabeling');(28 u'\\bzacopride');(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b');(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),,
2012,5ht2c;5ht2c;5ht2c;5ht2c;5ht2c,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(18 u'\\bimaging');(13 u'\\bagonist');(12 u'\\bantagonist');(49 u'\\bdoi'),(7 u'(?i)\\b(entorhinals|entorhinal)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),,
1996,5ht2c;5ht1d;5ht1d;5ht1d;5ht1;5ht1d;5ht1a;5ht1d;5ht1d;5ht1d;5ht1d,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b'),Method.AGONIST;Method.ANTAGONIST,(47 u'\\bsumatriptan');(12 u'\\bantagonist');(53 u'\\bketanserin');(9 u'\\britanserin');(13 u'\\bagonist');(34 u'\\b5ct'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
1992,5ht3;5ht1a;5ht1b;5ht2;5ht2;5ht1c;5ht1a;5ht1a;5ht1c;5ht1a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(46 u'\\bspiperone');(33 u'\\bmcpp');(12 u'\\bantagonist');(21 u'\\bipsapirone');(41 u'\\bhaloperidol');(53 u'\\bketanserin');(9 u'\\britanserin');(13 u'\\bagonist');(45 u'\\bmetergoline');(28 u'\\bzacopride'),,,
1992,5ht1;5ht1;5ht1;5ht1;5ht1,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b'),(33 u'\\blocomot');(26 u'\\bbehav'),
2001,5ht2;5ht2b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(33 u'\\bmcpp');(18 u'\\bimaging');(12 u'\\bantagonist');(13 u'\\bagonist');(5 u'\\bmk801'),(11 u'(?i)\\b(cerebrals|cerebral)\\b'),(3 u'\\bclinical'),
2016,5ht1d;5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(17 u'\\balzheimer');(14 u'\\bcogniti');(9 u'\\bstress');(15 u'\\bmemory');(13 u'\\bantidepress'),
1998,5ht1;5ht1;5ht1;5ht1;5ht1;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(3 u'\\bimmunoreactiv');(13 u'\\bagonist'),,(5 u'\\btherap');(4 u'\\btreatment'),
2001,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),(23 u'(?i)\\b(forebrains|forebrain)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(7 u'\\bdepressi');(8 u'\\banxi');(5 u'\\btherap');(13 u'\\bantidepress');(4 u'\\btreatment'),
1998,5ht1b;5ht1b;5ht1b;5ht1b,,,,(18 u'(?i)\\b(putamens|putamen)\\b');(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b');(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(17 u'(?i)\\b(caudates|caudate)\\b'),(2 u'\\bdisorder');(34 u'\\bparkinson');(1 u'\\bpatient'),
2009,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,,Method.PET,(18 u'\\bimaging');(19 u'\\bpositron emission tomography');(1 u'\\bneuroimag'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(26 u'\\bbehav'),
2017,5ht6;5ht2;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6,(6 u'(?i)\\b(rodents|rodent)\\b'),Method.ANTAGONIST,(5 u'\\bmk801');(12 u'\\bantagonist'),(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(17 u'\\balzheimer');(15 u'\\bmemory');(4 u'\\btreatment');(26 u'\\bbehav');(22 u'\\bschizophreni');(8 u'\\banxi');(18 u'\\bavoidan');(14 u'\\bcogniti');(24 u'\\banxiolytic'),
1997,5ht1a;5ht1;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),,(35 u'\\badenosine'),,,
2005,5ht2;5ht1a,(2 u'(?i)\\b(females|female)\\b');(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(13 u'\\bagonist'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b'),(4 u'\\btreatment'),
1998,5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3;5ht3,(7 u'(?i)\\b(guineas|guinea)(-|\\s+)?(pigs|pig)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(30 u'\\b2methyl');(13 u'\\bagonist');(12 u'\\bantagonist'),,(26 u'\\bbehav'),
2002,5ht3;5ht3,,Method.ANTAGONIST,(12 u'\\bantagonist'),,(3 u'\\bclinical');(32 u'\\bvomit');(26 u'\\bbehav');(1 u'\\bpatient'),
1999,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(21 u'\\bipsapirone');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
1992,5ht1c;5ht1;5ht4;5ht1b;5ht1;5ht1a;5ht1d;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(26 u'\\bbehav'),
1989,5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(5 u'\\bmk801');(12 u'\\bantagonist');(16 u'\\bdiazepam');(44 u'\\btetrodotoxin'),,(24 u'\\banxiolytic');(8 u'\\banxi'),
2004,5ht6;5ht6;5ht6;5ht6;5ht6,,,,,(2 u'\\bdisorder');(22 u'\\bschizophreni');(4 u'\\btreatment');(23 u'\\bantipsychotic');(1 u'\\bpatient'),
1996,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,,Method.AGONIST,(13 u'\\bagonist'),,(4 u'\\btreatment');(26 u'\\bbehav'),
1993,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(21 u'\\bipsapirone');(13 u'\\bagonist');(12 u'\\bantagonist'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),,
1994,5ht2c;5ht2a;5ht1c;5ht2c;5ht2a;5ht2a;5ht2a;5ht2a;5ht5;5ht1c;5ht2a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(23 u'\\bmdl');(12 u'\\bantagonist'),(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2004,5ht2c;5ht2c;5ht1;5ht2c;5ht2c;5ht2c,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2013,5ht1a;5ht1a;5ht1,,Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(4 u'\\btreatment');(26 u'\\bbehav');(20 u'\\bmood');(9 u'\\bstress');(2 u'\\bdisorder');(8 u'\\banxi');(6 u'\\baggressi'),
1999,5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.STIMULATION;Method.ANTAGONIST,(11 u'\\bfluoxetine');(12 u'\\bantagonist'),,(4 u'\\btreatment');(7 u'\\bdepressi');(5 u'\\btherap');(26 u'\\bbehav');(1 u'\\bpatient'),
